Test : Tempo 1;"15,00000";mm/min
W³aœciwoœci próbki : Etykietka próbki;"13.01_seg9_#1"
W³aœciwoœci próbki : D³ugoœæ;"25,00000";mm
W³aœciwoœci próbki : Szerokoœæ;"6,66000";mm
W³aœciwoœci próbki : Gruboœæ;"2,46000";mm
Odkszta³cenie : Odkszta³cenie 1 d³ugoœæ pomiarowa;"10,00000";mm
Odkszta³cenie : Odkszta³cenie przy rozci¹ganiu (Przemieszczenie) d³ugoœæ pomiarowa;"25,00000";mm

Godzina;Przemieszczenie;Obci¹¿enie;Odkszta³cenie 1
(s);(mm);(N);(mm/mm)
"6,99600";"1,73419";"6989,77930";"0,03425"
"7,03600";"1,74429";"6964,00049";"0,03429"
"7,04700";"1,74708";"6938,10156";"0,03427"
"7,14700";"1,77202";"6956,32227";"0,03435"
"7,22400";"1,79129";"6981,63379";"0,03443"
"7,32400";"1,81645";"7003,02881";"0,03505"
"7,39600";"1,83433";"7028,09912";"0,03593"
"7,49100";"1,85801";"7053,19531";"0,03732"
"7,59100";"1,88310";"7072,06006";"0,03886"
"7,69100";"1,90798";"7084,81592";"0,04054"
"7,79100";"1,93317";"7098,74951";"0,04242"
"7,89100";"1,95803";"7120,19873";"0,04385"
"7,99100";"1,98336";"7140,39014";"0,04425"
"8,05900";"2,00024";"7152,12988";"0,04441"
"34,48200";"2,00847";"6817,60547";"-0,13355"
"34,57500";"2,01181";"6843,80127";"-0,13446"
"34,59300";"2,01353";"6869,32031";"-0,13165"
"34,64500";"2,01597";"6895,41260";"-0,13298"
"34,65700";"2,01849";"6922,98193";"-0,12564"
"34,66500";"2,02079";"6949,61377";"-0,12465"
"34,67200";"2,02316";"6977,69775";"-0,12756"
"34,67800";"2,02541";"7004,59814";"-0,13150"
"34,68400";"2,02780";"7033,39062";"-0,13485"
"34,69000";"2,03029";"7063,38525";"-0,13604"
"34,69500";"2,03240";"7088,80908";"-0,13496"
"34,70000";"2,03453";"7114,25977";"-0,13233"
"34,70500";"2,03665";"7139,48389";"-0,12903"
"34,71100";"2,03917";"7169,14062";"-0,12569"
"34,71700";"2,04163";"7197,76416";"-0,12449"
"34,72300";"2,04400";"7225,03076";"-0,12598"
"34,72900";"2,04628";"7250,73975";"-0,12947"
"34,73600";"2,04880";"7278,64697";"-0,13386"
"34,74300";"2,05118";"7304,28809";"-0,13599"
"34,75100";"2,05374";"7331,00244";"-0,13406"
"34,76000";"2,05646";"7358,15332";"-0,12846"
"34,77000";"2,05930";"7385,17871";"-0,12457"
"34,78100";"2,06226";"7411,31836";"-0,12814"
"34,79400";"2,06559";"7437,64404";"-0,13541"
"34,81000";"2,06951";"7462,99854";"-0,13109"
"34,83500";"2,07563";"7488,59521";"-0,12814"
"34,86400";"2,08283";"7461,86719";"-0,13109"
"34,86800";"2,08383";"7432,43408";"-0,12851"
"34,87200";"2,08484";"7399,98145";"-0,12631"
"34,87600";"2,08586";"7367,46680";"-0,12496"
"34,88000";"2,08690";"7337,05811";"-0,12473"
"34,88400";"2,08794";"7310,16016";"-0,12569"
"34,88900";"2,08926";"7282,67773";"-0,12820"
"34,89600";"2,09113";"7256,53711";"-0,13262"
"34,93600";"2,10159";"7282,95996";"-0,12509"
"34,95000";"2,10507";"7309,54785";"-0,13253"
"34,96900";"2,10976";"7335,34229";"-0,13291"
"35,00300";"2,11806";"7360,48145";"-0,13196"
"35,03100";"2,12508";"7386,15771";"-0,12799"
"35,05700";"2,13159";"7411,65527";"-0,13189"
"35,15700";"2,15657";"7393,56201";"-0,12720"
"35,19200";"2,16540";"7419,02588";"-0,12863"
"35,29200";"2,19039";"7415,60693";"-0,13318"
"35,39200";"2,21515";"7422,53613";"-0,13528"
"35,49200";"2,24041";"7419,46777";"-0,13336"
"35,59200";"2,26518";"7415,89355";"-0,12904"
"35,69200";"2,29032";"7405,72217";"-0,12580"
"35,79200";"2,31540";"7395,17041";"-0,12619"
"35,89200";"2,34031";"7384,70068";"-0,12977"
"35,99200";"2,36542";"7370,01611";"-0,13365"
"36,09200";"2,39023";"7357,70898";"-0,13471"
"36,19200";"2,41515";"7345,50244";"-0,13227"
"36,29200";"2,44042";"7329,95508";"-0,12830"
"36,39200";"2,46540";"7316,37402";"-0,12601"
"36,49200";"2,49061";"7317,36230";"-0,12713"
"36,59200";"2,51525";"7342,77051";"-0,13068"
"36,65200";"2,53015";"7367,85986";"-0,12791"
"36,71000";"2,54470";"7393,29346";"-0,12667"
"36,76200";"2,55797";"7418,36426";"-0,12724"
"36,79600";"2,56638";"7444,16260";"-0,13429"
